                sˈɑ̃ : s'en, cent, sans, san, cents, sent, sang
                vwˈa : voies, voit, voix, voie, voient, vois
                kˈɛl : quelles, qu'elles, quelle, quels, quel, qu'elle
                 dˈi : dits, die, di, dis, dit, d'y
                  ˈo : eau, haut, eaux, aux, hauts, au
             akɔʁdˈe : accordés, accordé, accordée, accorder, accordées
          kɔ̃sideʁˈe : considéré, considérées, considérée, considérer, considérés
             anɔ̃sˈe : annoncées, annoncer, annoncés, annoncé, annoncée
            pʁɔpozˈe : proposer, proposées, proposé, proposée, proposés
                klˈe : clefs, clé, claes, clés, clef
            ʁezɛʁvˈe : réservée, réservés, réserver, réservé, réservées
                kˈɑ̃ : qu'en, camps, quand, quant, camp
                 nˈe : nez, nés, née, né, n'ai
              lɑ̃sˈe : lancés, lancé, lancées, lancée, lancer
            ɛ̃teɡʁˈe : intégrer, intégrées, intégrée, intégrés, intégré
            ɛ̃vɛstˈi : investi, investie, investies, investit, investis
             aplikˈe : appliqué, appliquées, appliquer, appliquée, appliqués
         ʁəpʁezɑ̃tˈe : représenté, représentées, représentée, représenter, représentés
           ɛ̃teʁɛsˈe : intéressées, intéressé, intéressée, intéressés, intéresser
               pɛjˈe : payée, payées, payé, payés, payer
              fiksˈe : fixée, fixé, fixées, fixer, fixés
                sˈɑ̃ : s'en, cent, sans, san, cents, sent, sang
                vwˈa : voies, voit, voix, voie, voient, vois
                kˈɛl : quelles, qu'elles, quelle, quels, quel, qu'elle
                 dˈi : dits, die, di, dis, dit, d'y
                  ˈo : eau, haut, eaux, aux, hauts, au
             akɔʁdˈe : accordés, accordé, accordée, accorder, accordées
          kɔ̃sideʁˈe : considéré, considérées, considérée, considérer, considérés
             anɔ̃sˈe : annoncées, annoncer, annoncés, annoncé, annoncée
            pʁɔpozˈe : proposer, proposées, proposé, proposée, proposés
                klˈe : clefs, clé, claes, clés, clef
            ʁezɛʁvˈe : réservée, réservés, réserver, réservé, réservées
                kˈɑ̃ : qu'en, camps, quand, quant, camp
                 nˈe : nez, nés, née, né, n'ai
              lɑ̃sˈe : lancés, lancé, lancées, lancée, lancer
            ɛ̃teɡʁˈe : intégrer, intégrées, intégrée, intégrés, intégré
            ɛ̃vɛstˈi : investi, investie, investies, investit, investis
             aplikˈe : appliqué, appliquées, appliquer, appliquée, appliqués
         ʁəpʁezɑ̃tˈe : représenté, représentées, représentée, représenter, représentés
           ɛ̃teʁɛsˈe : intéressées, intéressé, intéressée, intéressés, intéresser
               pɛjˈe : payée, payées, payé, payés, payer
              fiksˈe : fixée, fixé, fixées, fixer, fixés
           ɔʁɡanizˈe : organisée, organiser, organisé, organisées, organisés
            ytilizˈe : utiliser, utilisées, utilisé, utilisés, utilisée
               aʃtˈe : achetée, acheté, achetées, acheter, achetés
                vˈɛʁ : verres, vers, vert, verts, verre
               kʁeˈe : créé, créer, créées, créés, créée
             limitˈe : limitées, limités, limiter, limitée, limité
         pʁivileʒjˈe : privilégiés, privilégiées, privilégié, privilégier, privilégiée
            ʁealizˈe : réaliser, réalisé, réalisées, réalisés, réalisée
              ʃaʁʒˈe : chargée, chargé, chargées, charger, chargés
              plasˈe : placer, placé, placées, placée, placés
             adaptˈe : adaptés, adaptée, adaptées, adapter, adapté
            ɛ̃stalˈe : installée, installer, installées, installés, installé
              sityˈe : situer, situées, situés, située, situé
            devlɔpˈe : développer, développés, développé, développées, développée
          ɑ̃ʁʒistʁˈe : enregistrée, enregistré, enregistrés, enregistrer, enregistrées
            efɛktyˈe : effectués, effectuée, effectuées, effectuer, effectué
                 ˈɛl : elle, ailes, elles, el, l
             etablˈi : établis, établie, établies, établit, établi
             pybliˈe : publiée, publiés, publier, publiées, publié
               kˈɔ̃t : compte, comptes, conte, comptent, comte
               aplˈe : appelée, appelé, appelées, appeler, appelés
               pasˈe : passée, passées, passé, passer, passés
                kˈuʁ : courent, courts, court, cour, cours
              vɛʁsˈe : verser, versé, versés, versée, versées
                ʒˈɑ̃ : gens, jeans, jan, jean, j'en
              fuʁnˈi : fournit, fournies, fournie, fourni, fournis
           pʁezɑ̃tˈe : présenté, présentée, présentées, présenter, présentés
             ɛ̃pozˈe : imposée, imposé, imposer, imposées, imposés
               ʒyʒˈe : jugée, jugées, jugé, juger, jugés
            ɡaʁɑ̃tˈi : garanti, garantie, garantis, garantit, garanties
             avɑ̃sˈe : avancer, avancés, avancé, avancée, avancées
               dɔnˈe : donné, donner, donnée, données, donnés
                bˈaʁ : bar, bars, barres, barre, bart
        tʁadisjɔnˈɛl : traditionnelles, traditionnelle, traditionnels, traditionnel
             d͡ʒˈɛŋk : genk
            siklˈist : cycliste
                ɡˈiz : guise
               midˈi : midi
       lɛ̃stalasjˈɔ̃ : l'installation
            delisjˈø : délicieux
               nyˈaʒ : nuages
           səʁˈatˈil : sera-t-il
                ʃˈin : chine
        dɛkspeʁjˈɑ̃s : d'expérience
            dameʁˈik : d'amérique
           luʁdəmˈɑ̃ : lourdement
               dˈɔfʁ : d'offres
                dˈœ̃ : d'un
               bulˈo : boulot
               kˈaʁl : carl
              deɡˈaʒ : dégage
            pyisˈɑ̃s : puissance
              tʁˈipl : triple
        lapʁɑ̃tisˈaʒ : l'apprentissage
              lɔʁˈɛj : l'oreille
        pɔ̃deʁasjˈɔ̃ : pondération
       ɛ̃peʁativmˈɑ̃ : impérativement
          limaʒinˈɛʁ : l'imaginaire
          lidɑ̃titˈe : l'identité
           fidelitˈe : fidélité
           fɪdˈɛlɪti : fidelity
            swasˈɑ̃t : soixante
      stabilizasjˈɔ̃ : stabilisation
             ʁeplˈik : réplique
             tʁiˈɔ̃f : triomphe
             kaptˈœʁ : capteurs
             ʁaʁmˈɑ̃ : rarement
              sɔlvˈɛ : solvay
              dekˈup : découpe
             kɔʁlyˈi : corluy
              ʒønˈɛs : jeunesse
        vɔlɔ̃tɛʁmˈɑ̃ : volontairement
          kˌɛlkəzˈœ̃ : quelques-uns
         ɛ̃tɛʁvənˈɑ̃ : intervenants
               fˈisk : fisc
              kɔtˈɔ̃ : coton
               fyˈit : fuite
              dəvˈɑ̃ : devant
           ɪlˈɪzœbœθ : elisabeth
             akeʁˈœʁ : acquéreur
           kɔ̃sˈɑ̃tʁ : concentre
             ɡystˈav : gustave
            kɔ̃stˈɑ̃ : constant
         likidasjˈɔ̃ : liquidation
             dasyʁˈe : d'assurer
          akʁwasmˈɑ̃ : accroissement
               kybˈa : cuba
                ʃˈak : chaque
              kɔ̃fˈi : confie
               sˈinj : signes
             lˈɔʁskə : lorsque
        sˈydafʁikˈɛ̃ : sud-africain
            ʁɪtˈœːʁn : return
             mɛksˈik : mexique
          efikasitˈe : efficacité
              plˈɔ̃ʒ : plonge
              dabˈɔʁ : d'abord
            mɛ̃tnˈiʁ : maintenir
       taʁifikasjˈɔ̃ : tarification
               amˈuʁ : amour
            bɛlʒjˈɑ̃ : belgian
         apʁɑ̃tisˈaʒ : apprentissage
            ɛ̃klyˈɑ̃ : incluant
              paʁkˈɛ : parquet
             laʒˈɑ̃s : l'agence
            ʒˈɑ̃ʒˈak : jean-jacques
          uvɛʁtəmˈɑ̃ : ouvertement
             mɛstˈat : maystadt
             ʒwˈɛ̃dʁ : joindre
           syfizˈɑ̃t : suffisante
          kɔ̃pyzˈɛʁv : compuserve
           ɑ̃dɛʁsˈɛn : andersen
          pˈawœʁfˌɪn : powerfin
                tˈaʁ : tard
            pyiskˈil : puisqu'ils
            dɑ̃sjˈɛ̃ : d'anciens
                bjˈɛ : biais
                ʁˈul : roule
               ʒyˈɛ̃ : juin
             bulvˈaʁ : boulevard
               vˈɔtʁ : votre
              kyʁjˈø : curieux
                vˈɔʁ : voor
            lelemˈɑ̃ : l'élément
              sɔldˈa : soldats
             ʁəkjˈɛʁ : requiert
              mepʁˈi : mépris
             fɔʁˈɛst : forest
             sɔkypˈe : s'occuper
             maʁjˈan : marianne
            tʁavajˈɛ : travaillait
                 bˈu : bout
             kɔlɔʁˈi : coloris
           səʁˈɛtˈil : serait-il
              səkˈuʁ : secours
                ʁˈɔp : rops
                lˈə- : le
           dispozˈɑ̃ : disposant
             silˈɑ̃s : silence
       ɛ̃diʁɛktəmˈɑ̃ : indirectement
       ʁɛspɛktivmˈɑ̃ : respectivement
           patʁɔnˈal : patronales
             fʁapˈɑ̃ : frappant
            alyzjˈɔ̃ : allusion
             debytˈe : débuté
               ɡʁˈij : grille
            daksedˈe : d'accéder
             syedwˈa : suédois
                 kˈø : queue
               papˈa : papa
            limmˈɑ̃s : l'immense
          dameljɔʁˈe : d'améliorer
              nɔkjˈa : nokia
             d͡ʒˈɔni : johnny
            ʁealˈism : réalisme
         ʁətuʁnəmˈɑ̃ : retournement
             sybtˈil : subtil
              nˈɔ̃bʁ : nombre
              pasˈif : passif
             devɔlˈy : dévolu
               soʁˈa : saura
             ɑ̃bjˈɑ̃ : ambiant
              ɛʁbˈys : airbus
          pʁevwajˈɑ̃ : prévoyant
              ɡijˈom : guillaume
             dɛsˈɑ̃t : descente
           kuvɛʁtˈyʁ : couverture
         pˈɔʁtpaʁˈɔl : porte-parole
           səlyˈisˈi : celui-ci
           puʁsyˈivʁ : poursuivre
           syʁmɔ̃tˈe : surmonter
            fasilˈit : facilite
               wˈɛst : west
               swˈaf : soif
               tɔmˈa : thomas
         ʁˈedə-ʃosˈe : rez-de-chaussée
          ɑ̃vɛʁswˈaz : anversoise
             vɛ̃kˈœʁ : vainqueur
            puʁsyˈiv : poursuivent
             ʃedˈøvʁ : chef-d'oeuvre
               davˈi : d'avis
        ɑ̃sɛnjə-mˈɑ̃ : enseignement
        ʁetablismˈɑ̃ : rétablissement
             kuʁtʁˈe : courtrai
            tɛʁminˈo : terminaux
            uvɛʁtˈyʁ : ouverture
           pɔʁtyɡˈal : portugal
            bənɛtˈɔ̃ : benetton
            anɔ̃sˈœʁ : annonceurs
            pʁɔlˈɔ̃ʒ : prolonge
        sybstɑ̃sjˈɛl : substantielle
      lɔʁɡanizasjˈɔ̃ : l'organisation
              nikˈɔl : nicole
              mwalˈø : moelleux
             aʁmɔnˈi : harmonie
             nɛtmˈɑ̃ : nettement
             byskˈɛ̃ : busquin
       pʁedilɛksjˈɔ̃ : prédilection
          lɛ̃dystʁˈi : l'industrie
              fɔʁtˈi : fortis
              duɡlˈa : douglas
              ɔfʁˈɑ̃ : offrant
        dɛkspɑ̃sjˈɔ̃ : d'expansion
             desəlˈe : déceler
               mˈɛ̃s : mince
             delikˈa : délicat
             enɛʁʒˈi : énergie
            patʁɔnˈa : patronat
          sideʁyʁʒˈi : sidérurgie
            ʁiɡuʁˈøz : rigoureuse
        lɛkstɑ̃sjˈɔ̃ : l'extension
               sˈɛks : sexe
               maʒˈi : magie
            vjɔlˈɑ̃s : violence
         pɛʁfɛksjˈɔ̃ : perfection
              fodʁˈa : faudra
             taktˈik : tactique
          latlɑ̃tˈik : l'atlantique
              ɑ̃kˈɔʁ : encore
               stˈəv : steve
               eɡˈaʁ : égard
          syʁvɛjˈɑ̃s : surveillance
              eɡlˈiz : église
                 kˈi : qui
               nˈøtʁ : neutre
            datˈɑ̃dʁ : d'attendre
          efikasmˈɑ̃ : efficacement
             ʁənɔmˈe : renommée
        delɛktʁabˈɛl : d'electrabel
             sˈə͡ʊni : sony
                vˈɛj : veille
              dykˈɛl : duquel
            ɛspeʁˈɑ̃ : espérant
           alimɑ̃tˈe : alimenter
            lɑ̃smˈɑ̃ : lancement
             wˈɔlɔnz : wallonnes
      mɔdɛʁnizasjˈɔ̃ : modernisation
             lynjˈɔ̃ : l'union
           fʁekamˈɑ̃ : fréquemment
        ɡastʁɔnɔmˈik : gastronomique
              blɔkˈe : bloquer
              vənˈiz : venise
          pʁɔvizwˈaʁ : provisoire
             ˈɔ̃tˈil : ont-ils
             vivmˈɑ̃ : vivement
              pɔʁtˈɛ : portait
               bwˈaʁ : boire
              wˈɔʁœn : warren
              atˈɛnj : atteignent
             avˈevˈu : avez-vous
               lazˈi : l'asie
            listwˈaʁ : l'histoire
             avɛʁtˈi : averti
       ˌɛʁtˌeˈɛltvˈi : rtl-tvi
                ˈɛlf : elf
             kʁavˈat : cravate
           mɔʁozitˈe : morosité
           ymanitˈɛʁ : humanitaire
               falˈy : fallu
             paʁfˈɛt : parfaite
             kɔ̃bˈin : combine
              ʒɛʁsˈɛ : jersey
           vinɛɡʁˈɛt : vinaigrette
         labitasjˈɔ̃ : l'habitation
             lɛspʁˈi : l'esprit
              leɡˈaʁ : l'égard
             ɡʁosˈɛs : grossesse
              yzaʒˈe : usagers
             lɑ̃tˈœʁ : lenteur
           səkyʁitˈi : securities
             pʁɔtˈɔ̃ : proton
       ɛkspɔʁtasjˈɔ̃ : exportations
             deʃapˈe : d'échapper
             devitˈe : d'éviter
        pʁɔblematˈik : problématique
             lɑ̃ɡˈaʒ : langage
             stˈœːʁk : sterk
           ʁɪtˈœːʁnz : returns
             siʁkˈyl : circulent
    ˈɛlˈɛnθawzˌɪazmɪ : l'enthousiasme
              kɔlˈɔɲ : cologne
             laʁʒˈɑ̃ : l'argent
                kaˈo : chaos
                avˈi : avis
            ɑ̃dikˈap : handicap
             afiʃˈɑ̃ : affichant
            fiksjˈɔ̃ : fiction
         ʁadikalmˈɑ̃ : radicalement
           fʁedeʁˈik : frédéric
               emˈil : emile
               mˈʌst : must
              duzˈɛn : douzaine
              ɑ̃vˈɔl : envol
             ɔnɔʁˈɛʁ : honoraires
           lɛ̃stitˈy : l'institut
                spˈa : spa
         dɔkypasjˈɔ̃ : d'occupation
        ɛksplˈiktˈil : explique-t-il
              oʁjˈɔ̃ : aurions
         maʒɔʁasjˈɔ̃ : majoration
             kɔktˈaj : cocktail
                 ˈœj : oeil
            sˈɔ̃tˈɛl : sont-elles
             atʁibˈy : attribue
       lɛ̃depɑ̃dˈɑ̃s : l'indépendance
                suˈɛ : souhait
             kazinˈo : casino
          selɛksjˈɔ̃ : sélection
               kanˈo : canaux
              vulˈɔ̃ : voulons
      suzevalyasjˈɔ̃ : sous-évaluation
           abɔ̃dˈɑ̃t : abondante
            faʁmasˈi : pharmacie
              sˌepˈe : cp
             lɑ̃vwˈa : l'envoi
        dɛ̃pozisjˈɔ̃ : d'imposition
     lɛ̃fʁastʁyktˈyʁ : l'infrastructure
            sinɔnˈim : synonyme
                sˈos : sauce
              kaʁˈɛl : karel
          ɛ̃ɡʁedjˈɑ̃ : ingrédients
          vlaɑ̃dʁˈɛn : vlaanderen
             flɔʁˈid : floride
               dˈœvʁ : d'oeuvres
              aɡʁeˈe : agréé
               lˈɑ̃t : lente
           ʁepɔ̃dˈɑ̃ : répondant
             kɔtitˈe : quotité
              lotˈœʁ : l'auteur
          kɔʁypsjˈɔ̃ : corruption
            siɡaʁˈɛt : cigarettes
          ɛ̃denjˈabl : indéniable
              tjɛʁˈi : thierry
                 tˈy : tu
        dɛ̃vɛstisˈœʁ : d'investisseurs
            sɑ̃tnˈɛʁ : centenaire
              betˈɔ̃ : béton
              dɔnˈœʁ : d'honneur
           ʁəsəvʁˈɔ̃ : recevront
        kɔʁɛspɔ̃dˈɑ̃ : correspondant
          stabilizˈe : stabiliser
             spˈɛktʁ : spectre
               kapˈo : capot
                sˈyd : sud
               dˈapl : d'apple
             pˈøtˈil : peut-il
           anyɛlmˈɑ̃ : annuellement
              swajˈe : soyez
         depyʁasjˈɔ̃ : d'épuration
             desˈɑ̃s : d'essence
             aɡystˈa : agusta
          didɑ̃titˈe : d'identité
      dɛkspɔʁtasjˈɔ̃ : d'exportation
          dɛɡzaminˈe : d'examiner
                jˈɛʁ : hier
             spiʁˈal : spirale
     dadministʁatˈœʁ : d'administrateur
       ɛɡzɔneʁasjˈɔ̃ : exonération
                sˈɛn : saine
             ʁənuvˈo : renouveau
               swˈis : swiss
              mɑ̃tˈo : manteau
         ɛksplozjˈɔ̃ : explosion
               pʁˈɛs : presse
          patʁimwˈan : patrimoine
            pʁɛ̃sˈɛs : princesse
            penetʁˈe : pénétrer
           pʁealˈabl : préalable
               vilˈa : villa
            dispaʁˈy : disparu
            stʁˈɑ̃ɡl : strangle
               bɛjˈe : bayer
          kɔfinimmˈo : cofinimmo
             deʒønˈe : déjeuner
          pʁɔʃɛnmˈɑ̃ : prochainement
          ɛksklyzˈif : exclusif
          maastʁˈiʃt : maastricht
              saʃˈɑ̃ : sachant
       denɔminasjˈɔ̃ : dénomination
                dˈɛn : den
            kɔ̃fjˈɑ̃ : confiant
               bukˈɛ : bouquet
         ɛ̃pozisjˈɔ̃ : imposition
              tʁavˈo : travaux
              latʁˈɛ : l'attrait
             savuʁˈø : savoureux
               baʁˈo : barreau
       pʁɛskʁipsjˈɔ̃ : prescription
            dɔʁiʒˈin : d'origine
              ɑ̃lvˈe : enlever
            siʁkylˈe : circuler
       deʁeɡylasjˈɔ̃ : dérégulation
            distwˈaʁ : d'histoire
            efɛktˈiv : effective
              kanˈɔ̃ : canon
            etablˈiʁ : établir
            minimˈɔm : minimum
              dusˈœʁ : douceur
            syksedˈe : succédé
             deziʁˈø : désireux
              pasˈɑ̃ : passant
                pˈaj : paille
           səpɑ̃dˈɑ̃ : cependant
          swasɑ̃tˈɛn : soixantaine
               emˈan : émane
             ʁumanˈi : roumanie
             syʁpʁˈi : surpris
          dɔʁenavˈɑ̃ : dorénavant
           ʒˈɑ̃pjˈɛʁ : jean-pierre
             vʁɛmˈɑ̃ : vraiment
               afˈɛ̃ : afin
            syʁvɛjˈe : surveiller
               lˈotʁ : l'autre
              fɔʁfˈɛ : forfait
            ɑ̃ʒˈɑ̃dʁ : engendre
            tjɛ̃dʁˈa : tiendra
            kɔ̃vjˈɛn : conviennent
   kɔmɛʁsjalizasjˈɔ̃ : commercialisation
        pɛʁsɔnɛlmˈɑ̃ : personnellement
         fɔ̃damɑ̃tˈo : fondamentaux
               ɡlˈɔb : globe
              pɔezˈi : poésie
                sˈɛz : seize
             bʁasʁˈi : brasserie
            pɑ̃sjˈɔm : pentium
         kɔ̃pozitˈœʁ : compositeur
             fɛʁaʁˈi : ferrari
       ʒyʁispʁydˈɑ̃s : jurisprudence
               bʁˈyʒ : bruges
               pyʁˈe : purée
           maksimˈal : maximale
              dizˈɑ̃ : disant
               ɛʁvˈe : hervé
              bɔʁˈis : boris
             mɑ̃kʁˈa : manquera
         nesɛsɛʁmˈɑ̃ : nécessairement
               aksˈa : axa
             menaʒˈe : ménagers
               puʁˈa : pourra
         kɔmpjˈuːtœʁ : computer
        evɑ̃tyɛlmˈɑ̃ : éventuellement
           akademˈik : académique
               aʁmˈe : armée
            flɔʁˈɑ̃s : florence
             kɔ̃sˈɔm : consomme
         pɔpylaʁitˈe : popularité
               dwˈav : doivent
      sɔsjˈokʁetjˈɛ̃ : sociaux-chrétiens
             plɑ̃ʃˈe : plancher
          desidemˈɑ̃ : décidément
             maʒɔʁˈe : majoré
       kɔ̃stitysjˈɔ̃ : constitution
           dəsønˈɛ̃k : deceuninck
                ozˈe : osé
              bɔʁdˈo : bordeaux
        kɔ̃ʒwɛ̃tmˈɑ̃ : conjointement
             amʁikˈa : america
       pʁɔpɔʁsjɔnˈɛl : proportionnelle
              dokˈyn : d'aucune
              sˈɑ̃bʁ : sambre
             ʁakˈɔ̃t : raconte
              ʁezˈym : résume
            pʁevnˈiʁ : prévenir
        ɑ̃tʁəpʁˈɑ̃dʁ : entreprendre
         libeʁasjˈɔ̃ : libération
               ɡasˈe : gassée
            nɔtamˈɑ̃ : notamment
           idealmˈɑ̃ : idéalement
             nazdˈak : nasdaq
                nˈɛs : n'est-ce
            fʁekˈɑ̃t : fréquente
               bʁˈɛ̃ : brin
                sˈyʁ : sur
          pʁɔksimˈys : proximus
          tɛknisjˈɛ̃ : techniciens
              pasʁˈa : passera
             saʒisˈɛ : s'agissait
               ɔʁmˈi : hormis
              dɔmˈin : domine
             mɔ̃djˈo : mondiaux
              kabˈin : cabine
            dabitˈɑ̃ : d'habitants
       lɛ̃pɔʁtasjˈɔ̃ : l'importation
                ʒˈə- : je
              blˈuːz : blues
             sufʁˈiʁ : souffrir
           mwajɛnˈɑ̃ : moyennant
      immɑ̃kabləmˈɑ̃ : immanquablement
              feʁjˈe : fériés
          pʁɔfɔ̃dˈœʁ : profondeur
        lasɔsjasjˈɔ̃ : l'association
             ʁəvjˈɛ̃ : revient
              atˈɛ̃t : atteinte
       kɔ̃sɛʁvatwˈaʁ : conservatoire
            bɑ̃ɡkˈɔk : bangkok
            mɑ̃sjˈɔ̃ : mention
             plˈɛ̃dʁ : plaindre
              lamˈuʁ : l'amour
               ɔnˈœʁ : honneur
                tʁˈi : tri
           d͡ʒˈɛːjmz : james
             defˈɑ̃s : défense
             kɔ̃dyˈi : conduit
              sityˈɛ : situait
             suskʁˈi : souscrit
            aʁtizˈɑ̃ : artisans
                kˈan : cannes
           defɑ̃sˈœʁ : défenseurs
      lɛ̃tɛʁdiksjˈɔ̃ : l'interdiction
            nɔ̃fɛʁˈø : non-ferreux
            laʁtˈikl : l'article
              ʃˈɔpɪŋ : shopping
           ɛ̃flyˈɑ̃s : influence
             bɛʁlˈin : berline
           bjɔɡʁafˈi : biographie
            mɔnitˈœʁ : moniteur
               ɑ̃ʒˈø : enjeux
       lotoʁizasjˈɔ̃ : l'autorisation
               ɔfʁˈɛ : offrait
           daksɛptˈe : d'accepter
             laksˈɑ̃ : l'accent
             pɑ̃dˈɑ̃ : pendant
              wˈœːʁd : word
        kɔ̃tabilitˈe : comptabilité
                lˈak : lac
               ʃˈɑ̃t : chante
           kɔ̃fjˈɑ̃s : confiance
            definˈiʁ : définir
             ɑ̃twˈan : antoine
                kwˈa : quoi
             ɛspeʁˈe : espérer
             kavjˈaʁ : caviar
                flˈo : flot
              ʁiʒˈid : rigide
         kɔ̃kʁetizˈe : concrétiser
         kɔ̃fɔʁmitˈe : conformité
              ʁiɡˈœʁ : rigueur
                dˈe- : des
             saʒiʁˈa : s'agira
           detɛktˈœʁ : détecteurs
             latˈɑ̃t : l'attente
           mytasjˈɔ̃ : mutation
             sɔfinˈa : sofina
             demˈɛtʁ : d'émettre
          kɔ̃panjˈɔ̃ : compagnon
            atʁɛjˈɑ̃ : attrayant
           katedʁˈal : cathédrale
              sɛzˈiʁ : saisir
  d͡ʒˈɛst͡ʃɛftsˌɪdiː : geschäftsidee
     ɛ̃tɛʁpʁetasjˈɔ̃ : interprétation
             sekˈɑ̃s : séquences
           paʁysjˈɔ̃ : parution
          pʁivileʒˈi : privilégie
              anˈɛks : annexes
                dˈil : d'il
           ʒˈɑ̃maʁˈi : jean-marie
                ˈuvʁ : ouvre
             ʁədɔnˈe : redonner
         dɛ̃pɔʁtˈɑ̃s : d'importance
             dɑ̃blˈe : d'emblée
          pʁesizjˈɔ̃ : précision
           ʁeynisˈɑ̃ : réunissant
          pʁezɑ̃tˈɑ̃ : présentant
             telenˈɛ : telenet
             tʁuvʁˈe : trouverez
    vʁɛsɑ̃blabləmˈɑ̃ : vraisemblablement
         lɛ̃dɛmnitˈe : l'indemnité
         lɛ̃flasjˈɔ̃ : l'inflation
              fəʁˈɔ̃ : feront
          ʁˈabɔbˌaŋk : rabobank
            etɔnˈɑ̃t : étonnante
            dadaptˈe : d'adapter
            twajɔtˈa : toyota
           paʁizjˈɛn : parisienne
             lyksyˈø : luxueux
             ʁezymˈe : résumé
                ˈɔ̃t : honte
          ɡʁˈiːnspan : greenspan
           suʒasˈɑ̃t : sous-jacente
              livˈɛʁ : l'hiver
        apʁesjasjˈɔ̃ : appréciation
            salaʁjˈo : salariaux
              supˈap : soupapes
              paʁfˈɛ : parfait
           idɑ̃titˈe : identité
              matˈɛ̃ : matin
           kɔlɛktˈif : collectif
           dɔminˈɑ̃t : dominante
          ɛɡzekytˈif : exécutif
                lˈɔm : l'homme
               apˈɔʁ : apport
           dispozˈɔ̃ : disposons
       vˈispʁezidˈɑ̃ : vice-président
            kɔnɛsˈɔ̃ : connaissons
               fɔsˈe : fossé
                ʁˈaʒ : rage
            ilyzjˈɔ̃ : illusion
              apʁˈɑ̃ : apprend
          definitˈif : définitif
           dɛ̃teɡʁˈe : d'intégrer
             pyʁmˈɑ̃ : purement
             vizjˈɔ̃ : vision
         deleɡasjˈɔ̃ : délégation
                asˈi : assis
               sˈɑ̃t : sentent
                mˈøz : meuse
              baʁkˈo : barco
     myltiplikasjˈɔ̃ : multiplication
           diʁɛktˈɔʁ : director
        sideʁyʁʒˈist : sidérurgiste
             kulwˈaʁ : couloirs
                ɡˈaz : gaz
             pʁiɔʁˈi : priori
              mɛtʁˈa : mettra
           ɡʁˈɑ̃ʃˈoz : grand-chose
              alkˈɔl : alcool
             bʁabˈɑ̃ : brabant
              aveʁˈe : avéré
            lˈoʁskyn : lorsqu'une
            syʁvjˈɛ̃ : survient
            pʁevwˈaʁ : prévoir
           sɛ̃skʁˈiv : s'inscrivent
             ʁəpeʁˈe : repérer
        lɔpɔʁtynitˈe : l'opportunité
                 fˈi : fit
             ʁəlvˈɑ̃ : relevant
          ɛbdɔmadˈɛʁ : hebdomadaire
          kalifɔʁnˈi : californie
            ilystʁˈe : illustré
                lˈe- : les
            djətʁˈɛn : d'ieteren
              lavˈɑ̃ : l'avant
                pʁˈo : pro
          ɡlɔbalmˈɑ̃ : globalement
       lelɛktʁisitˈe : l'électricité
              pɑ̃sˈɛ : pensait
             denˈɔʁm : d'énormes
              ʁˈɪθmz : rythmes
         diʁɛktəmˈɑ̃ : directement
           ʁəkɔmˈɑ̃d : recommande
          ɛ̃teʁimˈɛʁ : intérimaire
               tʁwˈa : trois
               ɔfˈis : office
               wˈajd : wide
                nˈɛʒ : neige
                nˈɛm : n'aime
             ʒeneʁˈo : généraux
            vinjˈɔbl : vignoble
             mɔdifˈi : modifie
               dutˈe : douter
           pɑ̃sjɔnˈe : pensionnés
                blˈy : blue
            ʁefyʒjˈe : réfugiés
       valɔʁizasjˈɔ̃ : valorisation
            ʁepˈɔ̃dʁ : répondre
           kɔsmetˈik : cosmétiques
         linɔvasjˈɔ̃ : l'innovation
            alɑ̃tˈuʁ : alentours
          pʁɔmuvwˈaʁ : promouvoir
             abɔʁdˈe : aborder
          ʁekɔ̃pˈɑ̃s : récompense
               ɛ̃sˈi : ainsi
            kɔ̃tʁˈɛʁ : contraire
           lemisjˈɔ̃ : l'émission
           ɛmpʁˈʌnts : emprunts
               ɔ̃dˈa : honda
            kɔ̃vjˈɛ̃ : convient
             eʁitˈaʒ : héritage
              aʁʒˈɑ̃ : argent
         difisilmˈɑ̃ : difficilement
            lafiʃˈaʒ : l'affichage
           ɛtseteʁˈa : etc
            bɔtanˈik : botanique
             ʁətnˈiʁ : retenir
             ʃikaɡˈo : chicago
              debˈuʃ : débouche
          syfizamˈɑ̃ : suffisamment
              daʃtˈe : d'acheter
              pʁedˈi : prédit
             syfizˈɛ : suffisait
           laeʁɔpˈɔʁ : l'aéroport
             leʒˈɑ̃d : légende
          ʁɛspɛktˈif : respectifs
         dɛɡzistˈɑ̃s : d'existence
          stabilitˈe : stabilité
            atɑ̃tˈif : attentif
              pɛjˈɑ̃ : payant
      mikʁɔpʁɔsɛsˈœʁ : microprocesseur
       siɲifikasjˈɔ̃ : signification
           pʁɛ̃sipˈo : principaux
          ʁɛspɛktˈɑ̃ : respectant
            ʁalɑ̃tˈi : ralenti
         lɔbtɑ̃sjˈɔ̃ : l'obtention
           ʁəliʒjˈøz : religieuse
            ɡuʁmˈɑ̃d : gourmande
              dˈœːʁk : dirk
             kosjˈɔ̃ : caution
              səʁˈɛs : serait-ce
            mɛʁvɛjˈø : merveilleux
               vˈɛld : velde
       ɛ̃flasjɔnˈist : inflationnistes
            eklɛʁˈaʒ : éclairage
           ɛ̃tɛʁdˈit : interdite
               pavˈe : pavé
              ʃakˈœ̃ : chacun
